ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
22.0;738;ว 3์/๑;20.0;739.0;ว 3์/๑
20.0;741;Þ 2์/๑;17.0;741.0;Þ 2์/๑
16.0;740;ว 2์/๑;18.0;741.0;ว 2์/๑
20.0;741;ว 2์/๑;14.0;741.0;ว 2์/๑
15.0;741;ัว 1์/๑;16.0;742.0;ัว 1์/๑
22.0;740;ว 2์/๑;17.0;740.0;ว 2์/๑
19.0;739;ว 2์/๑;17.0;740.0;ว 2์/๑
25.0;739;Þว 2์/๑;21.0;738.0;Þว 2์/๑
22.0;740;ว 4์/๑;16.0;742.0;ว 4์/๑
15.0;744;ว 1์/๑;15.0;743.0;ว 1์/๑
13.0;740;ย 2์/๑;13.0;737.0;ย 2์/๑
21.0;744;ว 4์/๑;17.0;746.0;ว 4์/๑
25.0;746;Þว 2์/๑;22.0;746.0;Þว 2์/๑
25.0;745;Þว 2์/๑;19.0;745.0;Þว 2์/๑
26.0;746;ว 3์/๑;21.0;746.0;ว 3์/๑
24.0;748;ว 2์/๑;17.0;748.0;ว 2์/๑
25.0;749;ัว 2์/๑;18.0;749.0;ัว 2์/๑
21.0;743;Þย 2์/๑;24.0;741.0;Þย 2์/๑
31.0;738;Þว 3์/๑;25.0;739.0;Þว 3์/๑
23.0;742;ว 3์/๑;21.0;741.0;ว 3์/๑
26.0;743;ว 2์/๑;22.0;743.0;ว 2์/๑
24.0;731;Þว 7์/๑;17.0;732.0;Þว 7์/๑
18.0;737;ว 5์/๑;16.0;739.0;ว 5์/๑
21.0;743;Þว 3์/๑;16.0;743.0;Þว 3์/๑
20.0;743;Þว 3์/๑;17.0;743.0;Þว 3์/๑
19.0;743;ว 3์/๑;15.0;744.0;ว 3์/๑
21.0;745;Þว 3์/๑;18.0;745.0;Þว 3์/๑
19.0;746;ัย 1์/๑;17.0;746.0;ัย 1์/๑
21.0;749;ัย 2์/๑;20.0;749.0;ัย 2์/๑
24.0;749;Þย 1์/๑;21.0;749.0;Þย 1์/๑
27.0;750;ย 2์/๑;22.0;750.0;ย 2์/๑
29.0;751;Þย 1์/๑;24.0;751.0;Þย 1์/๑
30.0;752;ัว 2์/๑;21.0;752.0;ัว 2์/๑
31.0;751;ว 2์/๑;26.0;749.0;ว 2์/๑
26.0;749;ว 2์/๑;22.0;749.0;ว 2์/๑
25.0;749;ัว 3์/๑;22.0;749.0;ัว 3์/๑
26.0;748;ัย 2์/๑;23.0;748.0;ัย 2์/๑
23.0;747;Þย 2์/๑;19.0;747.0;Þย 2์/๑
25.0;748;ัว 3์/๑;18.0;748.0;ัว 3์/๑
26.0;745;Þว 2์/๑;22.0;744.0;Þว 2์/๑
22.0;746;ัว 3์/๑;16.0;746.0;ัว 3์/๑
25.0;745;ว 3์/๑;17.0;745.0;ว 3์/๑
25.0;745;ว 3์/๑;20.0;745.0;ว 3์/๑
27.0;747;ว 1์/๑;19.0;747.0;ว 1์/๑
32.0;747;ว 2์/๑;24.0;748.0;ว 2์/๑
35.0;749;ว 2์/๑;28.0;748.0;ว 2์/๑
32.0;745;ย 2์/๑;29.0;743.0;ย 2์/๑
28.0;744;ว 2์/๑;24.0;744.0;ว 2์/๑
27.0;746;ัว 3์/๑;23.0;747.0;ัว 3์/๑
27.0;749;ัว 3์/๑;22.0;749.0;ัว 3์/๑
27.0;748;Þว 2์/๑;25.0;746.0;Þว 2์/๑
28.0;745;ว 2์/๑;24.0;745.0;ว 2์/๑
31.0;742;ว 3์/๑;25.0;743.0;ว 3์/๑
27.0;748;ว 4์/๑;22.0;749.0;ว 4์/๑
28.0;752;ั 2์/๑;23.0;750.0;ั 2์/๑
28.0;748;ั 3์/๑;20.0;751.0;ั 3์/๑
25.0;752;ั 2์/๑;20.0;752.0;ั 2์/๑
23.0;754;ั 2์/๑;17.0;754.0;ั 2์/๑
25.0;752;Þว 2์/๑;22.0;749.0;Þว 2์/๑
26.0;746;ว 3์/๑;21.0;748.0;ว 3์/๑
23.0;750;ัย 2์/๑;19.0;751.0;ัย 2์/๑
22.0;752;ัย 2์/๑;18.0;752.0;ัย 2์/๑
25.0;753;ัย 1์/๑;17.0;754.0;ัย 1์/๑
26.0;756;ั 1์/๑;21.0;756.0;ั 1์/๑
26.0;757;ั 1์/๑;21.0;757.0;ั 1์/๑
25.0;757;ัย 2์/๑;21.0;756.0;ัย 2์/๑
26.0;756;ั 2์/๑;21.0;757.0;ั 2์/๑
27.0;757;ว 2์/๑;17.0;757.0;ว 2์/๑
28.0;755;ัว 1์/๑;25.0;754.0;ัว 1์/๑
